isogroup1000	sp|Q9P974|IF4E_CANGA
isogroup10997	sp|Q6PHE8|CC124_DANRE
isogroup11003	sp|P0C6P7|FEM1B_RAT
isogroup11004	sp|P71054|EPSE_BACSU
isogroup11005	sp|O70150|KCC1B_RAT
isogroup11006	sp|Q9VTL1|PCID2_DROME
isogroup11007	sp|Q8VCF1|CANT1_MOUSE
isogroup11009	sp|Q84K11|PPP5_SOLLC
isogroup11014	sp|Q54MJ7|ALAM_DICDI
isogroup11016	sp|Q6DFK2|S2540_XENLA
isogroup11017	sp|Q9C9G4|ENDO2_ARATH
isogroup11020	sp|Q55GU0|Y9955_DICDI
isogroup11021	sp|Q8VHL0|UT1_MOUSE
isogroup11026	sp|P28023|DCTN1_RAT
isogroup11027	sp|Q54DS8|SEC13_DICDI
isogroup11030	sp|Q9VWS2|NUP35_DROME
isogroup110336	sp|P11620|YPT1_SCHPO
isogroup11034	sp|Q9Z0Y8|CAC1I_RAT
isogroup110396	sp|O44997|DAPK_CAEEL
isogroup1105	sp|Q80VM7|ANR24_MOUSE
isogroup11052	sp|O54698|S29A1_RAT
isogroup11053	sp|Q6L4S3|HIRL1_ORYSJ
isogroup11059	sp|Q9DE27|RUVB2_XENLA
isogroup11064	sp|Q800A0|CATE_LITCT
isogroup11068	sp|Q9VBP3|TNKS_DROME
isogroup11070	sp|Q5RDP9|AP3S2_PONAB
isogroup110721	sp|Q8SRB8|NTH_ENCCU
isogroup11075	sp|Q7TT51|LGSN_RAT
isogroup11077	sp|C9D7C2|CAC1A_APIME
isogroup11078	sp|O29445|SERA_ARCFU
isogroup11079	sp|P78004|DNAJ_MYCPN
isogroup11081	sp|P49354|FNTA_HUMAN
isogroup11083	sp|Q8VCC8|RPGF3_MOUSE
isogroup11084	sp|Q08CS6|MOXD2_DANRE
isogroup11087	sp|Q9CZD3|GARS_MOUSE
isogroup11088	sp|Q8YRI1|YY46_NOSS1
isogroup11090	sp|Q4R3U7|GL8D2_MACFA
isogroup11091	sp|O32210|GR_BACSU
isogroup11094	sp|Q24270|CAC1D_DROME
isogroup11095	sp|O22197|RHC1A_ARATH
isogroup11097	sp|P50889|RS1_LEULA
isogroup111	sp|Q9FMA1|PP433_ARATH
isogroup11102	sp|Q9FGF0|PGML1_ARATH
isogroup111090	sp|Q06GP9|YCF4_PIPCE
isogroup1111	sp|P0C546|S2542_RAT
isogroup11115	sp|Q5N8G1|ISPD_ORYSJ
isogroup11121	sp|Q9CAI5|CKL2_ARATH
isogroup11124	sp|Q5NVN7|SAE1_PONAB
isogroup11126	sp|Q84WU9|C3H64_ARATH
isogroup11127	sp|Q9V4N3|CYB5_DROME
isogroup11130	sp|Q28019|LTBP2_BOVIN
isogroup11133	sp|Q9VU84|DBNL_DROME
isogroup11137	sp|Q9FLQ7|FH20_ARATH
isogroup11138	sp|Q9I969|TXLNB_CHICK
isogroup111396	sp|P54641|VA0D_DICDI
isogroup1114	sp|Q67W65|TAF1_ORYSJ
isogroup11145	sp|Q5URB2|YR188_MIMIV
isogroup11147	sp|Q9R0D8|WDR54_MOUSE
isogroup11156	sp|Q9ZUH5|SDR2B_ARATH
isogroup11157	sp|P54145|AMT1_CAEEL
isogroup11159	sp|P27643|SP5K_BACSU
isogroup11166	sp|A9BHB5|RS9_PETMO
isogroup11168	sp|Q8L725|MTPC1_ARATH
isogroup11171	sp|Q9P0X4|CAC1I_HUMAN
isogroup11172	sp|Q9R053|SCNBA_MOUSE
isogroup11174	sp|O14965|AURKA_HUMAN
isogroup11194	sp|Q9QWZ1|RAD1_MOUSE
isogroup11198	sp|P21334|CRTI_NEUCR
isogroup11201	sp|Q8W4I9|AML1_ARATH
isogroup11203	sp|G4RK44|TPSP_THETK
isogroup112090	sp|O78472|YCF39_GUITH
isogroup11212	sp|Q94KI8|TPC1_ARATH
isogroup11219	sp|Q55DM5|S35B2_DICDI
isogroup11220	sp|Q96287|KSG8_ARATH
isogroup11223	sp|Q54L52|Y6897_DICDI
isogroup11225	sp|Q93W20|NIFU2_ARATH
isogroup11226	sp|Q9SYI0|SECA1_ARATH
isogroup11228	sp|Q4L9P0|SRAP_STAHJ
isogroup11233	sp|Q9D106|PEPA5_MOUSE
isogroup11239	sp|Q55GC7|SGMD_DICDI
isogroup11243	sp|P45335|Y1706_HAEIN
isogroup11251	sp|G3X987|GIMA9_MOUSE
isogroup11253	sp|Q5G265|NETR_SAGLB
isogroup112531	sp|Q8TD57|DYH3_HUMAN
isogroup11257	sp|I1RNL0|C9MT2_GIBZE
isogroup11260	sp|B7F845|R10A_ORYSJ
isogroup11263	sp|Q9LDR9|EXP10_ARATH
isogroup11266	sp|Q3ZBH0|TCPB_BOVIN
isogroup11268	sp|Q2M1P5|KIF7_HUMAN
isogroup11269	sp|Q6PI78|TMM65_HUMAN
isogroup1127	sp|Q8L7E3|VSR7_ARATH
isogroup11270	sp|Q86JM5|Y2012_DICDI
isogroup11273	sp|Q3T9E4|TGTP2_MOUSE
isogroup11278	sp|Q93ZG9|FKB53_ARATH
isogroup11282	sp|Q9C9U5|SIS8_ARATH
isogroup11283	sp|Q9UNW9|NOVA2_HUMAN
isogroup11285	sp|P54280|PMS1_SCHPO
isogroup11286	sp|Q06852|SLAP1_CLOTH
isogroup11295	sp|A5HII1|ACTN_ACTDE
isogroup11305	sp|O64642|URT1_ARATH
isogroup1131	sp|Q1J545|ALR_STRPF
isogroup11312	sp|Q6AW69|CGNL1_MOUSE
isogroup11314	sp|Q8JG64|PDIA3_CHICK
isogroup11316	sp|Q9Y394|DHRS7_HUMAN
isogroup11318	sp|Q9SMI2|RS21_CYAPA
isogroup11320	sp|F4IQK5|VCL21_ARATH
isogroup11323	sp|Q9VR91|HERC2_DROME
isogroup11324	sp|Q01577|PKPA_PHYB8
isogroup11326	sp|Q8NHX9|TPC2_HUMAN
isogroup11335	sp|Q6GLZ0|GRTP1_XENLA
isogroup11343	sp|Q9I7U4|TITIN_DROME
isogroup11346	sp|Q00771|KCC1A_EMENI
isogroup11347	sp|Q50KB1|SEP2_EMIHU
isogroup11348	sp|Q8PD57|ERPA_XANCP
isogroup11354	sp|F4JLE5|SFH1_ARATH
isogroup11355	sp|Q9LYZ9|PP362_ARATH
isogroup11357	sp|Q949G5|MOB1A_MEDSF
isogroup11358	sp|Q01667|CAB6_ARATH
isogroup1136	sp|P43509|CPR5_CAEEL
isogroup11363	sp|Q9TXQ1|TNKS1_CAEEL
isogroup1137	sp|P39540|ELO1_YEAST
isogroup11373	sp|Q86AD7|MYLKB_DICDI
isogroup11377	sp|Q13526|PIN1_HUMAN
isogroup113779	sp|Q6INC1|TT21B_XENLA
isogroup11380	sp|Q6B9X6|VWKA_DICDI
isogroup113823	sp|Q39119|VPEG_ARATH
isogroup11383	sp|Q63450|KCC1A_RAT
isogroup11384	sp|Q7TSU0|C1D_CRIGR
isogroup11385	sp|P62494|RB11A_RAT
isogroup11386	sp|Q21221|AHO3_CAEEL
isogroup11387	sp|Q9VI10|SMD2_DROME
isogroup11398	sp|O95714|HERC2_HUMAN
isogroup11406	sp|Q9ERI6|RDH14_MOUSE
isogroup11408	sp|A0A1B4XBG9|SDND_SORAA
isogroup11409	sp|Q869Q0|Y4527_DICDI
isogroup114166	sp|Q58A42|DD3_DICDI
isogroup11417	sp|Q43199|APT1_WHEAT
isogroup11419	sp|A6NI86|GG6LA_HUMAN
isogroup11420	sp|Q8K4P0|WDR33_MOUSE
isogroup11424	sp|Q00808|HETE1_PODAS
isogroup11429	sp|P54166|UGTP_BACSU
isogroup11430	sp|O31853|YOJK_BACSU
isogroup11432	sp|Q40301|FCPE_MACPY
isogroup11435	sp|Q9SVV9|AML3_ARATH
isogroup11439	sp|P93025|PHOT2_ARATH
isogroup11442	sp|Q66H85|ANKZ1_RAT
isogroup11446	sp|P85200|PRS6B_HELAN
isogroup11452	sp|P19269|AMY1_SCHOC
isogroup11456	sp|Q00WL5|LONM_OSTTA
isogroup11457	sp|Q12955|ANK3_HUMAN
isogroup11471	sp|P9WLZ3|Y1367_MYCTU
isogroup11473	sp|Q55680|Y005_SYNY3
isogroup11477	sp|Q6B9X6|VWKA_DICDI
isogroup11479	sp|Q9H6Y7|RN167_HUMAN
isogroup11485	sp|Q55DE7|ATX2_DICDI
isogroup11486	sp|Q0WVL7|GOGC5_ARATH
isogroup11489	sp|P02599|CALM_DICDI
isogroup11490	sp|Q94A68|Y1669_ARATH
isogroup11491	sp|Q53H82|LACB2_HUMAN
isogroup11497	sp|Q6ZI17|OML2_ORYSJ
isogroup115	sp|Q9NR30|DDX21_HUMAN
isogroup11501	sp|Q9XZ43|5NTD_LUTLO
isogroup11503	sp|O95801|TTC4_HUMAN
isogroup11505	sp|P39692|MET10_YEAST
isogroup11506	sp|C1DHS4|UBIB_AZOVD
isogroup11511	sp|Q5UQE9|YL477_MIMIV
isogroup11512	sp|Q7T6Y2|YR831_MIMIV
isogroup11517	sp|Q4V832|AP4AT_XENLA
isogroup11518	sp|B4PY69|PGAM5_DROYA
isogroup11524	sp|Q8L540|LTO1_ARATH
isogroup11530	sp|Q29RU9|SOX_BOVIN
isogroup11534	sp|Q63ZS0|RTRAF_XENLA
isogroup11541	sp|Q9S7Q2|PP124_ARATH
isogroup11542	sp|Q9STZ2|SELT_ARATH
isogroup11547	sp|B4GUZ2|NO66_DROPE
isogroup11549	sp|P15390|SCN4A_RAT
isogroup1155	sp|Q54P70|Y4757_DICDI
