isogroup1000	Q9P974
isogroup102187	B5ZV31
isogroup10219	F4K410
isogroup10229	O78516
isogroup10232	P27521
isogroup102348	O74225
isogroup10235	A8HS48
isogroup10240	Q9ST43
isogroup10242	Q5U4X5
isogroup10243	O34539
isogroup102433	I1RNL0
isogroup102450	P40557
isogroup1025	Q9FL12
isogroup10258	P42210
isogroup10260	Q93VG8
isogroup10265	Q28389
isogroup10267	Q9XF62
isogroup10269	Q9LQ14
isogroup1027	Q9XI84
isogroup10270	P0CT80
isogroup10271	Q9ULJ7
isogroup10274	Q9XQU7
isogroup10276	P38545
isogroup10278	Q03498
isogroup10281	P27085
isogroup10282	P96554
isogroup10286	O77458
isogroup10287	Q9GQQ0
isogroup102900	Q6PFY9
isogroup10291	P43317
isogroup10292	P40796
isogroup102955	Q553U6
isogroup10296	Q9LZH9
isogroup10298	Q07761
isogroup1030	Q9SKC4
isogroup103013	O81028
isogroup10306	Q27257
isogroup10309	Q39617
isogroup103123	Q9LKI5
isogroup10317	O15891
isogroup103320	Q54TA3
isogroup10335	Q9AJN6
isogroup103370	Q17QF2
isogroup10338	Q9ST43
isogroup10340	O88407
isogroup10343	Q9C0G6
isogroup10344	P39023
isogroup10348	P49449
isogroup10351	P10039
isogroup10352	Q94BU1
isogroup10357	G5EEE9
isogroup10358	Q5XIJ8
isogroup10360	Q949Q0
isogroup10368	P91645
isogroup103685	A0M5A0
isogroup10369	O67124
isogroup10372	Q8IBS5
isogroup10374	H9BW96
isogroup10375	Q851Y7
isogroup10378	Q96IV6
isogroup10384	P83221
isogroup10389	C0CMQ8
isogroup10395	Q7TUR7
isogroup1040	B4N8G7
isogroup10402	Q08CG8
isogroup10403	Q553U6
isogroup10405	Q8BJ48
isogroup1041	P47179
isogroup10413	Q9C5W3
isogroup10415	Q1DME8
isogroup10418	A8HUA1
isogroup10420	O02350
isogroup10421	Q0INC5
isogroup10423	P49008
isogroup10424	P0C1B3
isogroup104350	P16603
isogroup10436	A4IH82
isogroup10449	O34499
isogroup10450	P37709
isogroup104506	Q9M9E8
isogroup10452	Q0EEE2
isogroup10453	Q9BY78
isogroup10465	P45946
isogroup104669	P16157
isogroup10468	Q6NZL8
isogroup10470	Q07352
isogroup10472	Q99PK0
isogroup10473	O82233
isogroup10479	D4ABL6
isogroup10483	Q9SS47
isogroup104838	Q08585
isogroup10487	Q9FGR9
isogroup10489	Q0V9R4
isogroup104933	A0A1B4XBG9
isogroup104964	Q42593
isogroup10501	Q27256
isogroup10505	O74803
isogroup10508	P55180
isogroup10510	Q9C9Z8
isogroup105111	Q9D504
isogroup10515	Q9LYN7
isogroup10517	Q53685
isogroup10518	Q9LYN7
isogroup1052	B8LIX8
isogroup10522	Q55EL3
isogroup10526	P82458
isogroup105294	P39898
isogroup1053	Q10156
isogroup10530	P53621
isogroup10531	Q2QVG9
isogroup10532	Q9M0E2
isogroup10533	Q9NP97
isogroup10534	Q8SSJ5
isogroup10541	Q9Y2T7
isogroup10543	Q4L3Q4
isogroup10544	Q9ZVJ4
isogroup105447	O80796
isogroup10545	P25776
isogroup1055	Q5UAP0
isogroup10551	Q5R8X6
isogroup105511	Q8N0Z6
isogroup10554	Q3TB82
isogroup105601	Q6CXT6
isogroup10561	Q29Q26
isogroup105612	A7L6A0
isogroup105628	Q03EC7
isogroup10563	Q7RAV5
isogroup10567	Q08699
isogroup10574	B1XL02
isogroup10576	O43049
isogroup10578	Q26630
isogroup10580	Q39238
isogroup10588	Q5R8M1
isogroup10589	Q9VBP3
isogroup1059	Q4IR18
isogroup10590	Q13510
isogroup10596	Q39604
isogroup10603	P93107
isogroup10608	Q84XU2
isogroup10612	F4JMJ1
isogroup10615	Q5Z9E2
isogroup10618	B6TYV8
isogroup106217	P96202
isogroup10623	Q55DM5
isogroup10624	Q6AWX0
isogroup106269	Q8YQD8
isogroup10630	Q40296
isogroup10633	Q52I78
isogroup106383	P46275
isogroup10639	F4I2Y3
isogroup10648	Q550U9
isogroup106499	P0DN22
isogroup1065	P30614
isogroup106503	P08734
isogroup10656	Q57251
isogroup10661	Q8GZ26
isogroup10669	P32321
isogroup10672	Q8UE66
isogroup10673	Q6GQN4
isogroup10674	Q4LAB0
isogroup10678	Q40300
isogroup1068	Q9I4E1
isogroup10681	P14091
isogroup10682	Q9C5Y4
isogroup10690	O60488
isogroup10691	H0YM25
isogroup106928	Q8H715
isogroup106956	P51563
isogroup106985	A4VGS1
isogroup1070	Q6WV19
isogroup10701	P22998
isogroup107012	P0C7R3
isogroup107014	B3PGJ1
isogroup10702	P48150
isogroup10706	B3EMI6
isogroup10717	Q9M622
isogroup10722	P37709
isogroup107247	Q9LT68
isogroup107254	Q54SR8
isogroup10726	Q9ZS34
isogroup107332	F4I116
isogroup10736	Q28653
isogroup10737	Q71N41
isogroup10740	P41759
isogroup10743	Q5ENN5
isogroup1075	E9HCD7
isogroup10754	Q9C5Z2
isogroup10755	P42730
isogroup10756	P27482
isogroup107564	Q6Z0I4
isogroup10757	Q9M4G4
isogroup10758	Q9C5M0
isogroup10760	Q9R0M8
isogroup10768	P19485
isogroup10770	Q99323
isogroup10772	Q9S9K4
isogroup10777	Q2QVG9
isogroup10780	P16259
isogroup10781	P27398
isogroup10783	Q1PCQ8
isogroup10784	Q5VYS8
isogroup10785	Q14123
isogroup10791	Q95L11
isogroup10796	Q53317
isogroup10798	G5ED45
isogroup1080	B5X3C1
isogroup10800	Q96PQ7
isogroup10803	Q9H8H3
isogroup10805	Q6ZY51
isogroup10806	P07205
isogroup10808	P25386
isogroup10809	P94400
isogroup10810	P0CN90
isogroup10813	Q8BFP9
isogroup10816	Q2GW27
isogroup10818	Q2RIS7
isogroup10819	Q9HGM9
isogroup108191	Q7Z4T9
isogroup10820	Q6EQX3
isogroup10825	P78594
isogroup10826	Q26636
isogroup1083	Q94464
isogroup10838	Q8L7W2
isogroup10839	Q9LR64
isogroup1084	A2BDR7
isogroup10845	Q28644
isogroup108488	Q9XXV8
isogroup10849	Q9HBG4
isogroup10853	Q7K4Q5
isogroup10858	Q9EX73
isogroup10862	Q16P20
isogroup10863	Q8S341
isogroup10865	Q9SJ61
isogroup10870	Q6NKN8
isogroup10871	Q6PCN7
isogroup10876	A8ILK1
isogroup10877	Q67UP9
isogroup10879	Q08CY4
isogroup108833	Q9CAN0
isogroup10896	Q6FMA3
isogroup10897	Q9P3U1
isogroup10900	Q0PCS3
isogroup10901	Q9LEN0
isogroup10902	Q0WMV8
isogroup109023	P23965
isogroup10906	A7SXK3
isogroup1091	Q8R151
isogroup10911	Q5M823
isogroup10912	Q9FN03
isogroup10916	Q86W34
isogroup109214	Q9ZVX5
isogroup10933	Q96AY4
isogroup10935	P48963
isogroup10936	P22739
isogroup10939	Q91VH6
isogroup10942	Q5A2K0
isogroup10946	O94432
isogroup10956	P09322
isogroup10957	O43670
isogroup10958	Q5TZA2
isogroup10968	P0CP00
isogroup10975	P76219
isogroup10979	Q7NZD1
isogroup10980	Q9UPQ9
isogroup10990	P51834
isogroup10994	O81845
isogroup10997	Q6PHE8
isogroup11003	P0C6P7
isogroup11004	P71054
isogroup11005	O70150
isogroup11006	Q9VTL1
isogroup11007	Q8VCF1
isogroup11009	Q84K11
isogroup11014	Q54MJ7
isogroup11016	Q6DFK2
isogroup11017	Q9C9G4
isogroup11020	Q55GU0
isogroup11021	Q8VHL0
isogroup11026	P28023
isogroup11027	Q54DS8
isogroup11030	Q9VWS2
isogroup110336	P11620
isogroup11034	Q9Z0Y8
isogroup110396	O44997
isogroup1105	Q80VM7
isogroup11052	O54698
isogroup11053	Q6L4S3
isogroup11059	Q9DE27
isogroup11064	Q800A0
isogroup11068	Q9VBP3
isogroup11070	Q5RDP9
isogroup110721	Q8SRB8
isogroup11075	Q7TT51
isogroup11077	C9D7C2
isogroup11078	O29445
isogroup11079	P78004
isogroup11081	P49354
isogroup11083	Q8VCC8
isogroup11084	Q08CS6
isogroup11087	Q9CZD3
isogroup11088	Q8YRI1
isogroup11090	Q4R3U7
isogroup11091	O32210
isogroup11094	Q24270
isogroup11095	O22197
isogroup11097	P50889
isogroup111	Q9FMA1
isogroup11102	Q9FGF0
isogroup111090	Q06GP9
isogroup1111	P0C546
isogroup11115	Q5N8G1
isogroup11121	Q9CAI5
isogroup11124	Q5NVN7
isogroup11126	Q84WU9
isogroup11127	Q9V4N3
isogroup11130	Q28019
isogroup11133	Q9VU84
isogroup11137	Q9FLQ7
isogroup11138	Q9I969
isogroup111396	P54641
isogroup1114	Q67W65
isogroup11145	Q5URB2
isogroup11147	Q9R0D8
isogroup11156	Q9ZUH5
isogroup11157	P54145
isogroup11159	P27643
isogroup11166	A9BHB5
isogroup11168	Q8L725
isogroup11171	Q9P0X4
isogroup11172	Q9R053
isogroup11174	O14965
isogroup11194	Q9QWZ1
isogroup11198	P21334
isogroup11201	Q8W4I9
isogroup11203	G4RK44
isogroup112090	O78472
isogroup11212	Q94KI8
isogroup11219	Q55DM5
isogroup11220	Q96287
isogroup11223	Q54L52
isogroup11225	Q93W20
isogroup11226	Q9SYI0
isogroup11228	Q4L9P0
isogroup11233	Q9D106
isogroup11239	Q55GC7
isogroup11243	P45335
isogroup11251	G3X987
isogroup11253	Q5G265
isogroup112531	Q8TD57
isogroup11257	I1RNL0
isogroup11260	B7F845
isogroup11263	Q9LDR9
isogroup11266	Q3ZBH0
isogroup11268	Q2M1P5
isogroup11269	Q6PI78
isogroup1127	Q8L7E3
isogroup11270	Q86JM5
isogroup11273	Q3T9E4
isogroup11278	Q93ZG9
isogroup11282	Q9C9U5
isogroup11283	Q9UNW9
isogroup11285	P54280
isogroup11286	Q06852
isogroup11295	A5HII1
isogroup11305	O64642
isogroup1131	Q1J545
isogroup11312	Q6AW69
isogroup11314	Q8JG64
isogroup11316	Q9Y394
isogroup11318	Q9SMI2
isogroup11320	F4IQK5
isogroup11323	Q9VR91
isogroup11324	Q01577
isogroup11326	Q8NHX9
isogroup11335	Q6GLZ0
isogroup11343	Q9I7U4
isogroup11346	Q00771
isogroup11347	Q50KB1
isogroup11348	Q8PD57
isogroup11354	F4JLE5
isogroup11355	Q9LYZ9
isogroup11357	Q949G5
isogroup11358	Q01667
isogroup1136	P43509
isogroup11363	Q9TXQ1
isogroup1137	P39540
isogroup11373	Q86AD7
isogroup11377	Q13526
isogroup113779	Q6INC1
isogroup11380	Q6B9X6
isogroup113823	Q39119
isogroup11383	Q63450
isogroup11384	Q7TSU0
isogroup11385	P62494
isogroup11386	Q21221
isogroup11387	Q9VI10
isogroup11398	O95714
isogroup11406	Q9ERI6
isogroup11408	A0A1B4XBG9
isogroup11409	Q869Q0
isogroup114166	Q58A42
isogroup11417	Q43199
isogroup11419	A6NI86
isogroup11420	Q8K4P0
isogroup11424	Q00808
isogroup11429	P54166
isogroup11430	O31853
isogroup11432	Q40301
isogroup11435	Q9SVV9
isogroup11439	P93025
isogroup11442	Q66H85
isogroup11446	P85200
isogroup11452	P19269
isogroup11456	Q00WL5
isogroup11457	Q12955
isogroup11471	P9WLZ3
isogroup11473	Q55680
isogroup11477	Q6B9X6
isogroup11479	Q9H6Y7
isogroup11485	Q55DE7
isogroup11486	Q0WVL7
isogroup11489	P02599
isogroup11490	Q94A68
isogroup11491	Q53H82
isogroup11497	Q6ZI17
isogroup115	Q9NR30
isogroup11501	Q9XZ43
isogroup11503	O95801
isogroup11505	P39692
isogroup11506	C1DHS4
isogroup11511	Q5UQE9
isogroup11512	Q7T6Y2
isogroup11517	Q4V832
isogroup11518	B4PY69
isogroup11524	Q8L540
isogroup11530	Q29RU9
isogroup11534	Q63ZS0
isogroup11541	Q9S7Q2
isogroup11542	Q9STZ2
isogroup11547	B4GUZ2
isogroup11549	P15390
isogroup1155	Q54P70
isogroup11551	P30638
isogroup11554	Q93VG8
isogroup11555	Q8NHH1
isogroup11565	Q40301
isogroup11566	Q3KPP4
isogroup11581	P10867
isogroup11584	Q55774
isogroup11590	Q5R8E3
isogroup11591	Q7ZWS2
isogroup11593	Q0R4F1
isogroup11600	P42111
isogroup11601	Q66H76
isogroup11602	P0AC33
isogroup11603	Q8WXX0
isogroup11606	A3AYR1
isogroup11610	Q8HZ58
isogroup11611	Q8N819
isogroup11612	Q5SMG8
isogroup11615	Q00808
isogroup11623	Q9Z2E1
isogroup116233	Q2NAJ5
isogroup11624	Q55GU0
isogroup11625	P34624
isogroup116291	Q90ZY6
isogroup11631	Q17938
isogroup11637	Q8DUI0
isogroup11638	Q54V55
isogroup11639	Q9Z0Y8
isogroup1164	Q9SEX2
isogroup11643	P41352
isogroup11646	P23903
isogroup11656	Q9FIV6
isogroup11663	Q54YR4
isogroup11664	Q7T0Q5
isogroup11668	Q6P6R0
isogroup11674	Q9R053
isogroup11684	Q6B9X6
isogroup11686	Q8W171
isogroup11687	Q54R82
isogroup11689	P0C1I7
isogroup11692	Q5BU09
isogroup11693	Q3UMR0
isogroup11695	P19269
isogroup11699	P16157
isogroup11700	Q5U4F6
isogroup11705	B0WAU8
isogroup11708	P54672
isogroup11709	Q9Z2E1
isogroup11710	Q9AWK2
isogroup11712	Q63164
isogroup1173	Q55318
isogroup11731	Q8BFT9
isogroup11733	O15457
isogroup11735	P0DJ14
isogroup11736	P47194
isogroup11737	Q52353
isogroup11739	Q9EQ60
isogroup11747	Q54HX8
isogroup11752	Q5UNW1
isogroup11758	Q9TXQ1
isogroup11759	P35182
isogroup11763	P96202
isogroup11767	Q9C7F8
isogroup11774	P09622
isogroup11775	Q567B1
isogroup1178	O75691
isogroup11785	Q32LE3
isogroup11786	Q8H569
isogroup11792	Q8WNY2
isogroup11794	Q4K396
isogroup11798	O34678
isogroup11810	Q5REG4
isogroup11818	Q5M9G9
isogroup11820	E4PJF6
isogroup11821	Q6NPT7
isogroup11822	Q9LR75
isogroup11826	Q941Q3
isogroup11829	Q00316
isogroup11831	P9WJU5
isogroup11835	Q8VZC9
isogroup11844	P55934
isogroup11851	O06000
isogroup11854	O43093
isogroup11855	Q7XA06
isogroup11860	P76104
isogroup11862	H2KZK4
isogroup11867	A3CQF1
isogroup11871	P54137
isogroup11875	P80193
isogroup1188	Q9EQN5
isogroup11880	P15555
isogroup11882	O60160
isogroup11889	Q06572
isogroup11892	F4JZY1
isogroup11894	Q0C8A0
isogroup11898	Q6L482
isogroup11900	Q9FKT8
isogroup11904	P30040
isogroup1191	P22125
isogroup11912	Q2RQW7
isogroup11916	Q5ZL21
isogroup11924	Q05973
isogroup1193	P32393
isogroup11935	Q9SQN2
isogroup11937	O22609
isogroup1194	B0X4N1
isogroup11943	Q55AX0
isogroup11947	A2VCW5
isogroup11950	O53078
isogroup11960	Q6S9E0
isogroup11968	Q9NKV0
isogroup11973	P9WPJ9
isogroup11974	Q8AVY1
isogroup11981	Q43207
isogroup11983	O74685
isogroup11991	Q54JK4
isogroup11993	Q8C8R3
isogroup11997	Q84RR0
isogroup12000	Q80XJ3
isogroup12004	Q55G83
isogroup12017	Q54DH7
isogroup12023	Q556Y9
isogroup12024	B4RSJ6
isogroup12025	P35159
isogroup12026	P53780
isogroup12028	O13845
isogroup12033	O74424
isogroup12034	Q62785
isogroup12037	O88448
isogroup12039	Q8UZB4
isogroup12043	Q5PQ09
isogroup12045	Q58CR3
isogroup12047	Q9LEV7
isogroup12048	Q99MB4
isogroup12049	Q9SL02
isogroup12051	Q8L796
isogroup12052	B7G3Y9
isogroup12059	Q2EMV9
isogroup12064	P06197
isogroup12066	P28855
isogroup12068	Q5ZMI4
isogroup12072	Q6B9X6
isogroup12075	Q5BJT1
isogroup12083	Q15119
isogroup120841	P74168
isogroup12094	Q15149
isogroup12095	Q96I24
isogroup12096	Q6QNM1
isogroup12099	Q40297
isogroup12102	Q9JJ59
isogroup12105	Q9R053
isogroup1211	P38100
isogroup12117	Q9FX21
isogroup12118	Q66L42
isogroup12119	Q948R0
isogroup12121	Q9SA63
isogroup12122	Q9BWU0
isogroup12124	Q9LY75
isogroup12128	Q9Y2F9
isogroup1213	F4JTS8
isogroup12130	P33160
isogroup12131	Q55720
isogroup12132	Q8WXX5
isogroup12134	Q54DD7
isogroup12135	A8NJZ7
isogroup12138	Q9FFW5
isogroup12139	Q923M0
isogroup12144	P0C605
isogroup12145	P53457
isogroup12148	P0CU68
isogroup12151	O34627
isogroup12154	Q6AUG0
isogroup12161	Q8NBN7
isogroup12164	Q3UEI1
isogroup12166	Q4P2U6
isogroup12168	Q6K4V3
isogroup12170	C3VEQ4
isogroup12171	P54103
isogroup12172	P04929
isogroup121857	P50246
isogroup12191	Q28CU0
isogroup12192	Q8BJW6
isogroup12194	Q10323
isogroup12195	Q9QYI7
isogroup12196	Q9ZR37
isogroup12199	P98069
isogroup12202	P54774
isogroup12207	Q03730
isogroup12211	Q8LGD1
isogroup12212	P07463
isogroup12214	P9WQE7
isogroup122201	Q2JU28
isogroup12224	P0CP46
isogroup12231	Q9SL76
isogroup12233	Q08479
isogroup12234	Q03606
isogroup12235	P37686
isogroup12238	Q7RAH3
isogroup12242	Q6P3R8
isogroup12243	B2KI79
isogroup12250	Q8KG38
isogroup12254	Q9FDZ9
isogroup12255	P12369
isogroup12269	Q01118
isogroup12270	Q54QB1
isogroup12271	Q9D7R7
isogroup12273	Q48841
isogroup12279	Q9ZW02
isogroup1228	Q8SQK9
isogroup12280	P54213
isogroup12281	Q70JS2
isogroup12284	Q28GD4
isogroup12285	A3KMX7
isogroup12286	Q56Y42
isogroup12287	Q6IR75
isogroup12289	Q91917
isogroup12293	Q1XDK6
isogroup12296	B8HXV0
isogroup12297	D4AJR9
isogroup12300	Q9Y8G7
isogroup12303	Q9M1K2
isogroup12306	Q6DFU2
isogroup12310	Q8W4R8
isogroup12312	P22303
isogroup12313	Q9ZVU5
isogroup12314	A5DQS0
isogroup12322	Q9FIQ0
isogroup12328	Q18409
isogroup12330	Q9Y388
isogroup12337	Q9LTW0
isogroup12338	Q1D823
isogroup12339	O80513
isogroup12345	Q8VBY2
isogroup12347	Q3ZAV1
isogroup12350	Q54R82
isogroup12356	Q6DKG0
isogroup12361	Q91XB7
isogroup12374	Q05AK5
isogroup12383	Q7Z494
isogroup12384	O64730
isogroup12385	Q07866
isogroup12400	G5ECS8
isogroup12407	Q38896
isogroup12411	Q54WK1
isogroup12414	Q8BPS4
isogroup12416	O43497
isogroup12420	O82637
isogroup12423	P46313
isogroup12424	Q9FKI4
isogroup12429	Q9RTJ3
isogroup12431	A0JNA8
isogroup12432	Q8S341
isogroup12434	P25071
isogroup12436	B0BN18
isogroup12443	Q8IL04
isogroup12445	O23715
isogroup12446	P15706
isogroup12447	P27085
isogroup12448	Q45096
isogroup12458	Q6CWQ4
isogroup12467	Q9UVN9
isogroup12468	Q9SFB8
isogroup12469	Q5R546
isogroup12471	P27643
isogroup12478	P17724
isogroup12481	Q28371
isogroup12482	P63389
isogroup12490	Q20065
isogroup12494	Q9BE39
isogroup12495	Q9FQ03
isogroup12503	Q9SFB8
isogroup12508	P25071
isogroup12510	Q93VV0
isogroup12515	P55390
isogroup12517	P33303
isogroup12522	Q02789
isogroup12527	Q9P792
isogroup12530	Q17320
isogroup12534	Q7Z9L3
isogroup12542	Q27556
isogroup12543	P16924
isogroup12551	P54584
isogroup12553	Q04960
isogroup12558	A2CIR7
isogroup12562	A6QQU6
isogroup12563	P0DKC4
isogroup12564	Q6C3D7
isogroup12571	P58137
isogroup12572	Q9LQK7
isogroup12573	Q75AM2
isogroup12574	O23166
isogroup12582	Q9M9W9
isogroup12590	P30268
isogroup12595	Q9TV66
isogroup12596	A6NNX1
isogroup12600	P0AFS6
isogroup12601	P0CP40
isogroup12602	P61207
isogroup12604	O95714
isogroup12605	A2ADU9
isogroup12606	Q96J02
isogroup12608	P62343
isogroup12609	Q9M271
isogroup12610	Q3LSS0
isogroup12612	Q55FI4
isogroup12618	Q54MJ7
isogroup12620	Q86AW9
isogroup12623	P27521
isogroup12628	P27791
isogroup12630	A8WRV1
isogroup12632	Q00808
isogroup126338	O13755
isogroup12646	Q7K4W1
isogroup12660	Q9C1X4
isogroup12665	Q9GV41
isogroup12667	Q5XEP2
isogroup12668	Q55G91
isogroup12671	Q9Z1M0
isogroup12673	Q9HCD6
isogroup12678	P0CI65
isogroup12680	Q9SLG9
isogroup12685	Q20845
isogroup12686	Q8WU67
isogroup12701	Q9XF63
isogroup12704	O15865
isogroup12711	Q8IDX6
isogroup12712	P24721
isogroup12713	Q9LRE6
isogroup12725	Q6XLQ7
isogroup12726	Q9AJU2
isogroup12728	P28227
isogroup12729	Q23221
isogroup12730	Q5XI50
isogroup12732	Q40296
isogroup12734	Q8H129
isogroup12737	Q9LDI3
isogroup12740	Q54XQ8
isogroup12743	Q9LZ82
isogroup12745	Q9GQQ0
isogroup12746	P90726
isogroup12749	O88351
isogroup12752	Q91WJ8
isogroup12753	Q61743
isogroup12754	O94623
isogroup12758	Q9UI33
isogroup12759	Q9HGM5
isogroup12761	P11179
isogroup12767	Q9XHZ8
isogroup12769	B3EE31
isogroup12773	Q5K2C1
isogroup12775	P10475
isogroup12776	Q5WA76
isogroup12777	P92949
isogroup12781	P20793
isogroup12789	Q9ULJ7
isogroup12790	Q9JKB0
isogroup12794	P36614
isogroup12796	Q7RTR2
isogroup12802	P50429
isogroup12806	Q3Y416
isogroup12807	C0H4K2
isogroup12808	Q8R3F5
isogroup12809	Q9W0Y8
isogroup12815	B7E7M8
isogroup12830	Q63881
isogroup12836	P33296
isogroup12840	Q5ZLF0
isogroup12847	O04487
isogroup12852	Q6INL7
isogroup12857	Q8VBZ0
isogroup12861	Q9Y810
isogroup12863	Q9D6X5
isogroup12864	P46873
isogroup12871	A0A0H2VDN9
isogroup12881	Q9ERC1
isogroup12891	P49550
isogroup12892	P43524
isogroup12893	O94480
isogroup12905	O82201
isogroup12912	Q9SK39
isogroup12913	Q55B10
isogroup129169	Q9FY06
isogroup12921	Q39693
isogroup12923	Q58D20
isogroup12925	Q8WWI5
isogroup12935	O08638
isogroup12937	Q7DLR9
isogroup12939	P54073
isogroup12945	Q7JYV7
isogroup12946	Q9I830
isogroup12955	Q92J08
isogroup12958	Q38896
isogroup12961	Q16773
isogroup12968	Q9STD3
isogroup12969	Q9SB50
isogroup12971	Q9LUZ4
isogroup12972	Q2T9N0
isogroup12973	Q9BYR5
isogroup12976	Q9JLG8
isogroup12977	Q7ZWF4
isogroup12981	P55390
isogroup12984	Q9ZE70
isogroup12986	G5E8K5
isogroup12988	Q01484
isogroup12997	P55336
isogroup12999	O60449
isogroup13	P0CH37
isogroup13000	Q9QR71
isogroup13002	Q59Q30
isogroup13005	Q8ZKT7
isogroup13014	Q8W490
isogroup13020	E7F9T0
isogroup13021	P23034
isogroup13022	B2ZFP3
isogroup13028	Q5XF85
isogroup13029	Q9LYN7
isogroup13031	Q21086
isogroup13032	O00764
isogroup13038	P92958
isogroup13040	A6NNE9
isogroup13044	Q07652
isogroup13046	P47075
isogroup13047	Q28FF3
isogroup13049	A0CCD2
isogroup13052	O15865
isogroup13064	Q6QNM1
isogroup13065	Q0IIF0
isogroup13070	Q6K271
isogroup13072	O35691
isogroup13073	O00142
isogroup13074	O02414
isogroup13082	Q75JP5
isogroup13086	Q8S9K3
isogroup13088	O81716
isogroup13089	P92943
isogroup13095	O42398
isogroup13098	Q9NJU9
isogroup13100	P34101
isogroup13102	Q5F478
isogroup13103	P72622
isogroup13107	Q9DCN1
isogroup13108	Q9NFP1
isogroup13110	K4BW79
isogroup13114	O26708
isogroup13117	Q6PBC1
isogroup13123	Q55512
isogroup13128	Q43362
isogroup13129	Q04336
isogroup13136	Q53P85
isogroup13140	P60899
isogroup13142	Q8WWF8
isogroup13146	Q7RXA6
isogroup13154	F4JBP3
isogroup13157	Q8NCR3
isogroup13158	Q4R7L5
isogroup13159	O31489
isogroup13168	Q94131
isogroup13178	P35579
isogroup13179	P99029
isogroup13181	F4K265
isogroup13183	Q5SS80
isogroup13196	P15381
isogroup13201	Q0CLX3
isogroup13210	Q4G3B5
isogroup13211	J3S9D9
isogroup13213	P51817
isogroup13220	Q00808
isogroup13224	Q9P2R6
isogroup13230	F4ILY9
isogroup13237	Q0JKV1
isogroup13243	Q6A997
isogroup13249	Q8BZZ3
isogroup13262	P37967
isogroup13269	P30638
isogroup1327	Q54LY1
isogroup13271	A0A0H2URK1
isogroup13280	A8HUA1
isogroup13281	D8Q9M3
isogroup13286	O57483
isogroup13291	Q6NZL8
isogroup1330	Q8VEG4
isogroup13300	Q91ZH7
isogroup13302	D3ZF42
isogroup13313	F4IS56
isogroup13323	Q9ULJ7
isogroup13325	Q8YRI1
isogroup13328	Q24270
isogroup13334	Q4R3K4
isogroup13335	G2NFJ9
isogroup13338	P59114
isogroup13346	Q7VG06
isogroup13353	Q8L7S3
isogroup13355	Q58900
isogroup13357	A2BFC9
isogroup13367	P15345
isogroup13372	Q9C6B9
isogroup13373	Q60665
isogroup13375	Q9Z221
isogroup13383	E2JA31
isogroup13386	O74427
isogroup13408	Q8U530
isogroup13420	H0YM25
isogroup13422	F4J0A8
isogroup13426	Q9FR44
isogroup13431	Q9FIX3
isogroup13433	Q55AX0
isogroup13439	Q4V7B8
isogroup13454	Q5U680
isogroup13467	Q9ULJ7
isogroup13477	O66114
isogroup13483	Q8IWZ3
isogroup13484	Q922Q5
isogroup13489	B4J3F1
isogroup13491	Q9USW3
isogroup13492	P39153
isogroup13494	Q9SKC4
isogroup13498	Q9S702
isogroup135	Q5E9D6
isogroup13500	Q9IBD1
isogroup13503	Q9M4C4
isogroup13504	Q94K80
isogroup13509	A1K5T6
isogroup13513	S3D9F9
isogroup13514	O04714
